,0
FIX2_Ca_L6,0.04463932474006632
FIX4_Ca_L3,0.04440605092147216
FIX5_Ca_L6,0.044386328237068035
FIX6_Fa_L2,0.04429993910331739
FIX5_Sa_L6,0.04418120217932089
penalties_saved_L6,0.043789240159791375
own_goals_L6,0.04331605327400681
FIX2_num_opponents,0.043039624816857865
red_cards_SALOC,0.04250833280148543
FIX3_Sa_L3,0.04221964444463052
Cf_L2,0.04197175362032434
position,0.041403886875524085
FIX3_num_opponents,0.04133408900031981
FIX1_FTga_L1,0.04127536971305186
FIX1_avg_team_pts_concession_pos_L1,0.04110830335639091
FIX4_Ca_L2,0.041073178757493986
penalties_missed_L3,0.04045464172437728
own_goals_SALOC,0.04039271885397842
FIX6_Ca_L6,0.039678781939453
FIX6_Sa_L3,0.039587682994293376
FIX5_Ca_L3,0.0394735328744766
FIX3_Ca_L6,0.039316416755813904
FIX2_Ca_L3,0.039202726466175494
FIX3_Sa_L2,0.039143320792837895
FIX6_Sa_L6,0.03913795936079485
Ff_SALOC,0.03911349853132852
FIX3_Ca_L3,0.039039637013330006
Sf_L1,0.038997425121203765
own_goals_L3,0.038197399051204756
FIX6_Sa_L2,0.037921307478236244
FIX4_Ff_L2,0.037878440617627525
FIX4_Sa_SAT,0.037829952096555375
FIX2_Sa_L3,0.037782932202446315
penalties_saved_SALOC,0.037684331422175796
FIX4_Fa_L2,0.03765615499576121
FIX5_STa_L2,0.03727664962293093
FIX3_Fa_L2,0.03706344042371428
penalties_missed_L2,0.037003558333493634
FIX6_Fa_L3,0.0368563248180096
FIX3_Sa_L6,0.0365755450814974
FIX5_Sa_SAT,0.036470456681448535
FIX5_Fa_L3,0.036352586266099524
FIX2_avg_team_pts_concession_pos_L6,0.0356933574606423
FIX6_Sa_SAT,0.035636543056335214
substitute_L1,0.03563276876467095
FIX1_max_team_pts_concession_pos_L1,0.03537987728336332
FIX6_Ca_L3,0.035196184010845365
FIX6_Ff_L6,0.03504028823038915
FIX5_Ff_L2,0.03496557812329955
STf_L1,0.034863437098710086
FIX5_Fa_L1,0.03474043118454735
FIX5_avg_team_pts_concession_pos_L6,0.03469661229069679
FIX2_Ca_SAT,0.03467159063585075
FIX2_Sa_L6,0.034597399500710925
FIX2_avg_team_pts_concession_pos_L3,0.034297009711415354
FIX5_avg_team_pts_concession_pos_L2,0.03408597778399637
FIX4_STa_L2,0.03379715205161761
FIX4_Sa_L1,0.033649830091166705
FIX6_Ff_L3,0.03357821636521069
FIX6_Fa_L1,0.03331513858002493
FIX2_avg_team_pts_concession_pos_SAT,0.03303226494350096
pts_L1,0.032951582276208445
FIX5_Ca_L2,0.03278242474046509
FIX2_Sa_L2,0.03267369612935451
FIX4_avg_team_pts_concession_pos_L3,0.03266680972102489
FIX6_STa_L2,0.03257312363803091
FIX3_Sa_SAT,0.032458030106865064
FIX6_Ca_SAT,0.03226617206491145
FIX4_STa_L1,0.03217890146535238
FIX6_avg_team_pts_concession_pos_SAT,0.032128538845846766
FIX5_STa_L3,0.03201398570868112
penalties_saved_L3,0.03198417404121884
FIX5_STa_L1,0.03174826696032701
FIX6_Fa_L6,0.031584586795224474
FIX5_avg_team_pts_concession_pos_SAT,0.03157275313566414
FIX4_STa_L3,0.03140207380082465
FIX3_Fa_L6,0.0313034306322436
FIX2_Sa_SAT,0.031106450072207286
FIX6_avg_team_pts_concession_pos_L6,0.031079844753323215
FIX4_Ca_SAT,0.03086980192163751
FIX6_Ff_L1,0.030627086134048038
FIX1_oddsW_L1,0.030571658207381617
FIX6_num_opponents,0.030357919895017047
FIX2_Fa_L2,0.030312504370903284
FIX4_Fa_L3,0.030296663093660935
FTgf_L1,0.030117050490529883
FIX3_Ca_SAT,0.02993136079489033
FIX5_Fa_L6,0.029791173876894138
FIX5_Sa_L1,0.029764718911304403
FIX2_Fa_L1,0.02974814457580384
FIX3_avg_team_pts_concession_pos_L3,0.029681473573706225
FIX5_max_team_pts_concession_pos_L3,0.02937902214838384
FIX4_Fa_L6,0.029362662185584348
FIX6_Ca_L2,0.029300955762915474
FIX3_Ca_L2,0.028915973546227897
FIX4_Ca_L1,0.02883795038294749
FIX4_Fa_L1,0.028720519657717096
FIX3_avg_team_pts_concession_pos_L6,0.028508296313033435
FIX4_avg_team_pts_concession_pos_SAT,0.028383891100735085
FIX3_Fa_L1,0.028357979272911366
FIX2_max_team_pts_concession_pos_L3,0.0282923775383285
FIX2_STa_L2,0.02825778333217513
FIX2_STa_L6,0.028067033378540406
FIX2_Ff_L2,0.02796396055735445
FIX5_num_opponents,0.02788191271266718
FIX6_avg_team_pts_concession_pos_L2,0.027874140680774873
FIX6_max_team_pts_concession_pos_L3,0.027794103056410852
FIX3_STa_L2,0.027591593540127905
FIX2_Ff_L1,0.02752916693605295
ppmin,0.02747920608866026
FIX4_oddsW_SAT,0.02707155101206683
FIX4_avg_team_pts_concession_pos_L2,0.02695568236263532
Cf_L1,0.02693970059306404
FIX4_STa_L6,0.026810638864900514
penalties_saved_L2,0.026746773663196683
FIX5_Ca_SAT,0.02663015813060554
FIX4_Ff_L6,0.0264605521199173
FIX4_Ff_L1,0.026388377948424684
FIX2_STa_L3,0.02638529649310933
FIX2_oddsW_SAT,0.02597741729832267
FIX4_avg_team_pts_concession_pos_L6,0.025863548513977975
FIX3_Fa_L3,0.02581470801284097
FIX6_STa_L3,0.025685687724635923
FIX2_max_team_pts_concession_pos_SAT,0.02558028003009407
own_goals_L2,0.02557998689603589
FIX5_STa_L6,0.025477073164471956
FIX3_STa_L1,0.025370190390376433
FIX2_Ca_L2,0.025279293904751875
